Sio2_Arctic,Sio2_Atlantic,Sio2_Indiana,Sio2_Southern,,,TiO2_Arctic,TiO2_Atlantic,TiO2_Indiana,TiO2_Southern,,,Al2O3_Arctic,Al2O3_Atlantic,Al2O3_Indiana,Al2O3_Southern
,49.8,50.84,,,,,0.91,1.64,,,,,14.41,17.23,
,,48.18,,,,,,0.055,,,,,,3.206,
,,,,,,,,,,,,,,,
,50.56,,,,,,0.957,,,,,,14.2,,
,49.85,51.03,,,,,1.29,1.34,,,,,13.96,15.03,
,49.85,51.17,,,,,1.28,1.31,,,,,13.91,15.01,
,,,,,,,,,,,,,,,
,,51.36,,,,,,1.14,,,,,,15.05,
,50.37,51.29,,,,,1.41,1.05,,,,,12.97,15.55,
,49.82,,,,,,0.94,,,,,,14.67,,
,,,,,,,,,,,,,,,
,,51.72,,,,,,1.43,,,,,,14.89,
,50.35,50.02,,,,,1.123,0.94,,,,,13.51,21.3,
,49.92,50.36,,,,,0.96,2.5,,,,,14.63,15.1,
,49.7,49.86,,,,,0.93,2.58,,,,,15.18,15.2,
,49.9,50.26,,,,,0.9,2.63,,,,,14.38,15.25,
,49.85,50.72,,,,,0.73,2.54,,,,,14.71,15.06,
,,49.92,,,,,,2.54,,,,,,15.11,
,,50.08,,,,,,2.56,,,,,,15.16,
,50.52,49.89,,,,,0.892,2.62,,,,,13.72,15.12,
,50.41,50.96,,,,,0.92,2.56,,,,,14.5,14.91,
,48.36,0.864,,,,,0.9,3.95,,,,,15.89,15.62,
,49.85,48.1,,,,,1.15,1.75,,,,,14.28,16.88,
,,50.26,,,,,,0.59,,,,,,16.25,
,,48.11,,,,,,1.39,,,,,,17.3,
,50.48,52.22,,,,,1.264,1.1,,,,,13.66,13.1,
,49.33,53.18,,,,,1.08,1.04,,,,,14.45,12.92,
,,50.93,,,,,,2.08,,,,,,15.85,
,,50.22,,,,,,0.72,,,,,,16.11,
,50.42,49.87,,,,,1.271,1.29,,,,,13.51,16.7,
,49.41,,,,,,0.96,,,,,,14.7,,
,49.71,,,,,,1,,,,,,14.74,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,50.56,,,,,,1.141,,,,,,13.8,,
,49.82,,,,,,1.05,,,,,,14.47,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,49.98,,,,,,1.108,,,,,,13.7,,
,49.29,,,,,,1.02,,,,,,14.31,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,49.37,,,,,,1.011,,,,,,14.47,,
,49.73,,,,,,1.29,,,,,,14.13,,
,49.63,,,,,,1.29,,,,,,14.11,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,50.58,,,,,,1.637,,,,,,13.19,,
,49.87,,,,,,1.07,,,,,,14.91,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,50.44,,,,,,1.3,,,,,,13.42,,
,50.09,,,,,,1.08,,,,,,14.8,,
,49.82,,,,,,1.36,,,,,,14.01,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,50.36,,,,,,1.435,,,,,,13.54,,
,49.52,,,,,,1.37,,,,,,14.35,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,49.79,,,,,,1.617,,,,,,13.19,,
,49.9,,,,,,1.05,,,,,,14.46,,
,49.57,,,,,,1.1,,,,,,14.66,,
,49.85,,,,,,1.12,,,,,,14.17,,
,50.1,,,,,,1.1,,,,,,14.5,,
,50.61,,,,,,1.04,,,,,,14.52,,
,50.1,,,,,,1,,,,,,14.83,,
,50.33,,,,,,1.14,,,,,,14.25,,
,49.77,,,,,,1.02,,,,,,14.5,,
,49.01,,,,,,1.08,,,,,,14.53,,
,49.36,,,,,,1.17,,,,,,13.95,,
,49.38,,,,,,1.08,,,,,,14.2,,
,49.11,,,,,,1.06,,,,,,14.59,,
,50.52,,,,,,1.56,,,,,,15.425,,
,50.51,,,,,,1.32,,,,,,16.84,,
,49.625,,,,,,1.415,,,,,,17.68,,
,49.74,,,,,,1.195,,,,,,16.355,,
,49.74,,,,,,1.54,,,,,,17.22,,
,47.96,,,,,,0.69,,,,,,23.86,,
,50.42,,,,,,1.31,,,,,,15.83,,
,49.86,,,,,,1.17,,,,,,15.515,,
,49.455,,,,,,1.465,,,,,,15.675,,
,50.325,,,,,,1.63,,,,,,15.46,,
,51.14,,,,,,1.22,,,,,,14.7,,
,50.17,,,,,,1.565,,,,,,16.58,,
,50.64,,,,,,1.67,,,,,,15.32,,
,49.86,,,,,,1.03,,,,,,14.37,,
,50.05,,,,,,1.04,,,,,,14.43,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,50.38,,,,,,1.039,,,,,,14.53,,
,49.81,,,,,,1.03,,,,,,14.51,,
,49.82,,,,,,1.04,,,,,,14.59,,
,49.98,,,,,,1.07,,,,,,14.73,,
,49.91,,,,,,1.07,,,,,,14.76,,
,,,,,,,,,,,,,,,
,49.91,,,,,,1.246,,,,,,14.18,,
,49.7,,,,,,1.24,,,,,,14.54,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,50.08,,,,,,1.263,,,,,,14.17,,
,49.89,,,,,,1.09,,,,,,14.13,,
,,,,,,,,,,,,,,,
,49.42,,,,,,0.84,,,,,,14.86,,
,49.54,,,,,,0.64,,,,,,16.47,,
,49.61,,,,,,1.02,,,,,,14.37,,
,49.78,,,,,,0.63,,,,,,16.78,,
,49.7,,,,,,1.48,,,,,,16.42,,
,47.84,,,,,,1.46,,,,,,15.05,,
,48.65,,,,,,1.44,,,,,,15.99,,
,48.77,,,,,,1.46,,,,,,16.01,,
,48.4,,,,,,1.43,,,,,,16.12,,
,49.79,,,,,,1.24,,,,,,15.96,,
,49.86,,,,,,1.24,,,,,,16,,
,52.8,,,,,,1.02,,,,,,14.16,,
,46.8,,,,,,0.78,,,,,,16.75,,
,49.6,,,,,,1.4,,,,,,15.2,,
,49.41,,,,,,0.9,,,,,,17.26,,
,49.97,,,,,,0.73,,,,,,17.26,,
,48.62,,,,,,0.69,,,,,,16.75,,
,50.58,,,,,,1.45,,,,,,15.4682,,
,50.35,,,,,,1.45,,,,,,15.5805,,
,50.19,,,,,,1.33,,,,,,15.7642,,
,50.62,,,,,,1.59,,,,,,15.7642,,
,50.16,,,,,,0.95,,,,,,16.6933,,
,49.78,,,,,,0.86,,,,,,17.1936,,
,43.78,,,,,,2.25,,,,,,13.78,,
,47.33,,,,,,2.32,,,,,,13.5,,
,49.29,,,,,,2.65,,,,,,15.66,,
,43.63,,,,,,2.35,,,,,,13.88,,
,46.23,,,,,,2.66,,,,,,15.61,,
,49.05,,,,,,1.22,,,,,,15.46,,
,47.81,,,,,,2.43,,,,,,14.16,,
,48.08,,,,,,1.22,,,,,,15.25,,
,47.62,,,,,,1.07,,,,,,17.77,,
,48.02,,,,,,1.46,,,,,,15.24,,
,48.65,,,,,,1.88,,,,,,14.63,,
,47.29,,,,,,1.73,,,,,,14.68,,
,47.33,,,,,,2.7,,,,,,13.89,,
,48.05,,,,,,2.41,,,,,,14.6,,
,50.9,,,,,,1.54,,,,,,16,,
,49.6,,,,,,1.53,,,,,,16.3,,
,47.9,,,,,,2.6,,,,,,5.7,,
,50.71,,,,,,1.51,,,,,,16.38,,
,50.4,,,,,,1.53,,,,,,15.9,,
,49.89,,,,,,1.53,,,,,,16.38,,
,50.4,,,,,,1.42,,,,,,16.7,,
,43.6,,,,,,1.61,,,,,,21.1,,
,47.42,,,,,,1.37,,,,,,14.9,,
,50,,,,,,0.79,,,,,,17.4,,
,51,,,,,,2.2,,,,,,13.5,,
,40.7,,,,,,4.4,,,,,,16.6,,
,51,,,,,,1.73,,,,,,14.44,,
,50.4,,,,,,0.79,,,,,,17.1,,
,50.3,,,,,,0.73,,,,,,16.6,,
,49.95,,,,,,0.69,,,,,,17.29,,
,48.62,,,,,,0.69,,,,,,16.75,,
,50.14,,,,,,0.74,,,,,,16.81,,
,50.73,,,,,,0.73,,,,,,16.88,,
,51.3,,,,,,1.16,,,,,,15.6,,
,51.02,,,,,,1.25,,,,,,15.15,,
,51.32,,,,,,1.22,,,,,,15.24,,
,50.9,,,,,,1.21,,,,,,15.9,,
,51.2,,,,,,1.24,,,,,,15.3,,
,51.1,,,,,,1.25,,,,,,15.19,,
,51.13,,,,,,1.24,,,,,,15.16,,
,50.65,,,,,,1.26,,,,,,15.24,,
,47.7,,,,,,1.92,,,,,,18.8,,
,50.99,,,,,,1.27,,,,,,15.55,,
,49,,,,,,1.23,,,,,,17,,
,47.5,,,,,,1.28,,,,,,18.3,,
,50.2,,,,,,1.11,,,,,,16.3,,
,47.4,,,,,,1.19,,,,,,17.1,,
,49.9,,,,,,1.06,,,,,,16.4,,
,51.09,,,,,,0.97,,,,,,16.05,,
,50.4,,,,,,0.86,,,,,,15.5,,
,48.9,,,,,,0.9,,,,,,15.6,,
,49.8,,,,,,0.87,,,,,,16.9,,
,49.2,,,,,,0.86,,,,,,16,,
,50.2,,,,,,0.88,,,,,,17.9,,
,49.6,,,,,,1.02,,,,,,14.7,,
,50,,,,,,1.11,,,,,,17.1,,
,49.8,,,,,,1.05,,,,,,16.4,,
,46.7,,,,,,1,,,,,,13.8,,
,51,,,,,,1.44,,,,,,15.9,,
,47.7,,,,,,1.14,,,,,,15,,
,50.4,,,,,,0.99,,,,,,15.4,,
,50.7,,,,,,1.12,,,,,,16.2,,
,49.8,,,,,,0.95,,,,,,15.1,,
,50.8,,,,,,0.98,,,,,,16,,
,47.8,,,,,,1.02,,,,,,14.3,,
,50.62,,,,,,1.19,,,,,,14.41,,
,48.5,,,,,,1.08,,,,,,15.7,,
,49.9,,,,,,1.01,,,,,,15.1,,
,50.12,,,,,,0.99,,,,,,15.07,,
,50.57,,,,,,0.99,,,,,,15.06,,
,50.57,,,,,,0.99,,,,,,15.06,,
,49.5,,,,,,1.02,,,,,,15.5,,
,50.99,,,,,,1,,,,,,15.14,,
,50.99,,,,,,1,,,,,,15.14,,
,49.3,,,,,,1.04,,,,,,15.1,,
,49.6,,,,,,1.03,,,,,,15.7,,
,49.7,,,,,,1.04,,,,,,15.8,,
,49.9,,,,,,1.11,,,,,,16.1,,
,50.3,,,,,,0.96,,,,,,16.2,,
,50.6,,,,,,0.84,,,,,,15.1,,
,51.5,,,,,,0.96,,,,,,15.1,,
,50.83,,,,,,0.95,,,,,,15.43,,
,50.83,,,,,,0.95,,,,,,15.43,,
,46.5,,,,,,1.1,,,,,,15.7,,
,50.32,,,,,,0.96,,,,,,15.56,,
,50.32,,,,,,0.96,,,,,,15.56,,
,50.46,,,,,,1.06,,,,,,15.16,,
,50.46,,,,,,1.06,,,,,,15.16,,
,50.1,,,,,,1.05,,,,,,16.6,,
,50.2,,,,,,1.06,,,,,,15.2,,
,50.45,,,,,,0.99,,,,,,15.06,,
,50.61,,,,,,1.01,,,,,,15.02,,
,50.25,,,,,,1.02,,,,,,15.18,,
,48.4,,,,,,1.08,,,,,,16.2,,
,51.63,,,,,,1.03,,,,,,15.38,,
,51.63,,,,,,1.03,,,,,,15.38,,
,51.2,,,,,,0.92,,,,,,15.7,,
,49.6,,,,,,1.12,,,,,,16.2,,
,50.92,,,,,,1.02,,,,,,14.95,,
,50.92,,,,,,1.02,,,,,,14.95,,
,47.5,,,,,,1.12,,,,,,15.5,,
,48.1,,,,,,1.05,,,,,,16,,
,47.5,,,,,,0.97,,,,,,15.7,,
,49.87,,,,,,1.01,,,,,,15.04,,
,50.27,,,,,,1,,,,,,15.09,,
,49.19,,,,,,1.22,,,,,,14.44,,
,50.42,,,,,,1.25,,,,,,14.7,,
,50.42,,,,,,1.25,,,,,,14.7,,
,49.72,,,,,,1.2,,,,,,13.95,,
,51,,,,,,1.51,,,,,,15.6,,
,50.82,,,,,,1.28,,,,,,15.46,,
,50.4,,,,,,1.52,,,,,,15.3,,
,50.01,,,,,,1.52,,,,,,14.93,,
,50.84,,,,,,1.62,,,,,,14.48,,
,49.98,,,,,,1.48,,,,,,15.13,,
,48.06,,,,,,1.58,,,,,,15.42,,
,49.75,,,,,,1.37,,,,,,16.05,,
,51.17,,,,,,2.71,,,,,,14.88,,
,47.29,,,,,,1.2,,,,,,12.05,,
,48.88,,,,,,1.53,,,,,,14.92,,
,49.91,,,,,,1.38,,,,,,15.55,,
,49.56,,,,,,1.37,,,,,,14.97,,
,38.58,,,,,,,,,,,,1.53,,
,51.2,,,,,,1.09,,,,,,14.55,,
,46.27,,,,,,1.18,,,,,,18.43,,
,47.3,,,,,,0.29,,,,,,17.82,,
,38.15,,,,,,,,,,,,1.36,,
,50.2,,,,,,0.97,,,,,,14.7,,
,48.4,,,,,,1.07,,,,,,16,,
,40.3,,,,,,1.19,,,,,,17.8,,
,49.75,,,,,,0.89,,,,,,16.48,,
,49.47,,,,,,0.93,,,,,,17.9,,
,50.02,,,,,,0.81,,,,,,17.62,,
,50.65,,,,,,1.46,,,,,,15.264,,
,50.5,,,,,,1.49,,,,,,15.7234,,
,50.67,,,,,,1.32,,,,,,16.0807,,
,50.2,,,,,,1.44,,,,,,15.5294,,
,49.7,,,,,,0.83,,,,,,16.5402,,
,49.83,,,,,,0.87,,,,,,17.2243,,
,50.52,,,,,,1.02,,,,,,14.74,,
,53.51,,,,,,2.61,,,,,,21.13,,
,43.2,,,,,,2.16,,,,,,17.87,,
,49.13,,,,,,2.38,,,,,,14.03,,
,48.61,,,,,,2.42,,,,,,14.13,,
,48.97,,,,,,2.64,,,,,,14.76,,
,51.04,,,,,,3.09,,,,,,15.28,,
,48.64,,,,,,1.42,,,,,,16,,
,47.45,,,,,,2.47,,,,,,14.05,,
,47.78,,,,,,2.47,,,,,,13.72,,
,48.53,,,,,,2.49,,,,,,14.62,,
,51.09,,,,,,1.5,,,,,,15.79,,
,51.08,,,,,,1.23,,,,,,14.91,,
,51.2,,,,,,1.23,,,,,,14.88,,
,51.45,,,,,,1.19,,,,,,14.8,,
,51.37,,,,,,1.19,,,,,,14.41,,
,51.67,,,,,,0.95,,,,,,14.92,,
,51.45,,,,,,1.53,,,,,,14.82,,
,47.34,,,,,,0.37,,,,,,22.83,,
,48.89,,,,,,0.48,,,,,,20.29,,
,49.49,,,,,,1.05,,,,,,14.57,,
,50.7,,,,,,1.15,,,,,,13.8,,
,50.1,,,,,,1.04,,,,,,14,,
,49.29,,,,,,0.48,,,,,,21.12,,
,48.97,,,,,,0.48,,,,,,20.98,,
,50.15,,,,,,1.28,,,,,,14.49,,
,50.18,,,,,,1.15,,,,,,14.26,,
,50.99,,,,,,1.16,,,,,,14.42,,
,51.32,,,,,,1.15,,,,,,15,,
,51.32,,,,,,1.15,,,,,,15,,
,51.8,,,,,,1.09,,,,,,14.61,,
,50.46,,,,,,1.11,,,,,,14.02,,
,49.92,,,,,,1.13,,,,,,15.02,,
,51.54,,,,,,1.13,,,,,,14.93,,
,51.54,,,,,,1.13,,,,,,14.93,,
,,,,,,,,,,,,,14.5,,
,,,,,,,1.11,,,,,,,,
,50.86,,,,,,,,,,,,,,
,51.67,,,,,,1.1,,,,,,14.98,,
,50.75,,,,,,1.08,,,,,,14.45,,
,51.29,,,,,,1.09,,,,,,14.66,,
,48.44,,,,,,1.06,,,,,,13.73,,
,50.82,,,,,,1.24,,,,,,14.28,,
,51.67,,,,,,1.1,,,,,,14.98,,
,51.18,,,,,,1.13,,,,,,14.49,,
,51.81,,,,,,1.16,,,,,,14.6,,
,50.27,,,,,,1.14,,,,,,14.39,,
,51.42,,,,,,1.16,,,,,,14.36,,
,50.91,,,,,,1.15,,,,,,14.47,,
,49.69,,,,,,1.18,,,,,,14.57,,
,49.55,,,,,,1.18,,,,,,14.29,,
,50.79,,,,,,0.95,,,,,,14.88,,
,49.42,,,,,,0.97,,,,,,14.65,,
,51.02,,,,,,1,,,,,,15.04,,
,51.02,,,,,,1,,,,,,15.04,,
,51.81,,,,,,1.16,,,,,,14.6,,
,49.85,,,,,,0.91,,,,,,15.09,,
,50.31,,,,,,0.87,,,,,,14.56,,
,49.59,,,,,,0.91,,,,,,14.59,,
,51.45,,,,,,1.04,,,,,,14.99,,
,50.69,,,,,,0.91,,,,,,14.82,,
,49.7,,,,,,0.87,,,,,,14.5,,
,51.45,,,,,,1.04,,,,,,14.99,,
,49.52,,,,,,0.88,,,,,,14.61,,
,48.81,,,,,,0.89,,,,,,14.47,,
,49.22,,,,,,0.9,,,,,,14.68,,
,49.24,,,,,,0.9,,,,,,14.57,,
,51.39,,,,,,1.09,,,,,,15,,
,49.47,,,,,,1.05,,,,,,14.56,,
,50.81,,,,,,1.22,,,,,,14.48,,
,50.73,,,,,,1.07,,,,,,14.83,,
,51,,,,,,1.08,,,,,,14.71,,
,49.5,,,,,,1.04,,,,,,13.87,,
,50.63,,,,,,1.08,,,,,,14.62,,
,50.1,,,,,,1.03,,,,,,14.1,,
,51.41,,,,,,1.06,,,,,,14.8,,
,51.41,,,,,,1.06,,,,,,14.8,,
,50.46,,,,,,1.07,,,,,,14.57,,
,50.83,,,,,,1.14,,,,,,14.5,,
,51.34,,,,,,1,,,,,,14.78,,
,51.34,,,,,,1,,,,,,14.78,,
,49.19,,,,,,1.04,,,,,,14.8,,
,50.71,,,,,,1.16,,,,,,14.53,,
,51.25,,,,,,1.11,,,,,,14.72,,
,50.49,,,,,,1.1,,,,,,14.8,,
,50.54,,,,,,1.06,,,,,,14.21,,
,50.66,,,,,,1.23,,,,,,14.68,,
,48.7,,,,,,1.23,,,,,,14.84,,
,49.5,,,,,,1.03,,,,,,14.44,,
,50.76,,,,,,1.05,,,,,,14.42,,
,51.34,,,,,,1,,,,,,14.78,,
,51.21,,,,,,1.06,,,,,,14.86,,
,50.47,,,,,,1.03,,,,,,14.63,,
,51.21,,,,,,1.06,,,,,,14.86,,
,49.54,,,,,,1.03,,,,,,14.01,,
,49.8,,,,,,0.85,,,,,,16.03,,
,50.81,,,,,,1.23,,,,,,13.91,,
,50.23,,,,,,1.03,,,,,,15.04,,
,49.48,,,,,,1.03,,,,,,14.51,,
,49.38,,,,,,1.01,,,,,,14.59,,
,49.61,,,,,,0.99,,,,,,14.6,,
,50.44,,,,,,0.95,,,,,,14.8,,
,50.04,,,,,,0.95,,,,,,14.66,,
,50.3,,,,,,0.96,,,,,,14,,
,50.94,,,,,,1.32,,,,,,14.21,,
,49.37,,,,,,1.22,,,,,,14.51,,
,51.28,,,,,,1.21,,,,,,14.23,,
,51.13,,,,,,1.06,,,,,,15,,
,49.55,,,,,,1.03,,,,,,14.54,,
,50.98,,,,,,1.36,,,,,,14.09,,
,50.55,,,,,,1.17,,,,,,14.12,,
,51.29,,,,,,1.25,,,,,,14.54,,
,50.17,,,,,,1.23,,,,,,14.38,,
,50.72,,,,,,1.13,,,,,,14.67,,
,51,,,,,,1,,,,,,14.2,,
,51.71,,,,,,1.17,,,,,,14.9,,
,51.71,,,,,,1.17,,,,,,14.9,,
,50.4,,,,,,1.08,,,,,,14.55,,
,50.94,,,,,,1.07,,,,,,14.8,,
,49.05,,,,,,1.19,,,,,,13.91,,
,50.94,,,,,,1.32,,,,,,14.28,,
,52.01,,,,,,1.22,,,,,,14.56,,
,52.01,,,,,,1.22,,,,,,14.56,,
,52.01,,,,,,1.22,,,,,,14.56,,
,49.6,,,,,,1.22,,,,,,14.58,,
,49.02,,,,,,1.23,,,,,,14.53,,
,50.67,,,,,,0.23,,,,,,14.88,,
,49.85,,,,,,1.21,,,,,,14.64,,
,51.14,,,,,,1.22,,,,,,14.7,,
,51.14,,,,,,1.22,,,,,,14.7,,
,51.12,,,,,,1.18,,,,,,14.83,,
,50.36,,,,,,1.37,,,,,,14.31,,
,50.2,,,,,,1.41,,,,,,14.34,,
,50.22,,,,,,1.37,,,,,,14.3,,
,50.94,,,,,,1.26,,,,,,14.93,,
,50.32,,,,,,1.38,,,,,,14.26,,
,51.13,,,,,,1.28,,,,,,14.76,,
,49.43,,,,,,1.19,,,,,,14.42,,
,51.13,,,,,,1.1,,,,,,14.79,,
,50.94,,,,,,1.26,,,,,,14.93,,
,50.94,,,,,,1.26,,,,,,14.93,,
,50.94,,,,,,1.26,,,,,,14.93,,
,51.18,,,,,,1.23,,,,,,14.86,,
,51.18,,,,,,1.23,,,,,,14.86,,
,51.18,,,,,,1.23,,,,,,14.86,,
,50.32,,,,,,1.25,,,,,,14.27,,
,51.18,,,,,,1.23,,,,,,14.86,,
,51.13,,,,,,1.28,,,,,,14.76,,
,51.13,,,,,,1.28,,,,,,14.76,,
,51.13,,,,,,1.28,,,,,,14.76,,
,49.61,,,,,,1.2,,,,,,14.4,,
,49.03,,,,,,1.25,,,,,,14.65,,
,50.39,,,,,,1.38,,,,,,14.31,,
,51.18,,,,,,1.24,,,,,,14.74,,
,51.18,,,,,,1.24,,,,,,14.74,,
,50.3,,,,,,1.21,,,,,,14.81,,
,49.7,,,,,,1.13,,,,,,14.3,,
,48.56,,,,,,1.04,,,,,,16.44,,
,50.1,,,,,,1.13,,,,,,14.4,,
,49.32,,,,,,1.15,,,,,,14.42,,
,48.25,,,,,,1.2,,,,,,14.49,,
,48.73,,,,,,1.18,,,,,,13.82,,
,49.7,,,,,,1.2,,,,,,14.5,,
,49.64,,,,,,1.21,,,,,,14.36,,
,49.09,,,,,,1.22,,,,,,13.92,,
,50.11,,,,,,1.23,,,,,,14.57,,
,47.12,,,,,,1.27,,,,,,15.06,,
,51.29,,,,,,1.24,,,,,,14.58,,
,49.94,,,,,,1.03,,,,,,16.02,,
,48.73,,,,,,1.28,,,,,,15.42,,
,49.29,,,,,,0.99,,,,,,15.81,,
,51.85,,,,,,1.13,,,,,,14.78,,
,49.8,,,,,,0.99,,,,,,15.97,,
,49.96,,,,,,0.97,,,,,,15.92,,
,47.72,,,,,,1.03,,,,,,16.58,,
,49.22,,,,,,1.03,,,,,,16.35,,
,51.28,,,,,,1.1,,,,,,14.69,,
,51.28,,,,,,1.1,,,,,,14.69,,
,49.69,,,,,,1.08,,,,,,15.56,,
,49.48,,,,,,1.22,,,,,,15.18,,
,50.36,,,,,,1.02,,,,,,16.42,,
,50.1,,,,,,0.94,,,,,,15.8,,
,49.91,,,,,,0.98,,,,,,16.38,,
,49.81,,,,,,1.01,,,,,,16.21,,
,48.33,,,,,,1.02,,,,,,16.96,,
,49.61,,,,,,1.02,,,,,,14.53,,
,48.91,,,,,,1.07,,,,,,14.2,,
,49.4,,,,,,1,,,,,,16.2,,
,49.68,,,,,,1,,,,,,15.87,,
,50.27,,,,,,0.99,,,,,,16.21,,
,49.7,,,,,,1.02,,,,,,16.49,,
,51,,,,,,0.99,,,,,,16.9,,
,,,,,,,,,,,,,,,
,49.9,,,,,,1,,,,,,16.12,,
,48.49,,,,,,1.08,,,,,,14.7,,
,49.84,,,,,,0.98,,,,,,16.32,,
,50.48,,,,,,1.01,,,,,,16.15,,
,48.31,,,,,,1.06,,,,,,16.75,,
,50.29,,,,,,1.03,,,,,,16.24,,
,49.8,,,,,,0.94,,,,,,15.8,,
,51.42,,,,,,1.03,,,,,,14.72,,
,50.24,,,,,,1,,,,,,16.54,,
,49.92,,,,,,0.99,,,,,,16.31,,
,51.89,,,,,,1.18,,,,,,14.68,,
,51.89,,,,,,1.18,,,,,,14.68,,
,49.83,,,,,,0.98,,,,,,16.16,,
,49.09,,,,,,1.15,,,,,,14.81,,
,51.21,,,,,,1.03,,,,,,14.86,,
,51.21,,,,,,1.03,,,,,,14.86,,
,49.82,,,,,,1.16,,,,,,14.82,,
,51.42,,,,,,1.03,,,,,,14.72,,
,49.73,,,,,,1.12,,,,,,14.37,,
,51.16,,,,,,1,,,,,,16.83,,
,50.76,,,,,,0.99,,,,,,16.7,,
,50,,,,,,1.02,,,,,,16.01,,
,47.77,,,,,,1.08,,,,,,14.57,,
,51.85,,,,,,1.09,,,,,,14.85,,
,51.93,,,,,,1.07,,,,,,14.72,,
,47.3,,,,,,0.54,,,,,,17.26,,
,51.4,,,,,,1.09,,,,,,14.72,,
,48.18,,,,,,0.56,,,,,,16.9,,
,51.3,,,,,,1.26,,,,,,14.52,,
,51.67,,,,,,1.13,,,,,,14.66,,
,51.67,,,,,,1.13,,,,,,14.66,,
,48.08,,,,,,0.53,,,,,,17.77,,
,48.72,,,,,,0.56,,,,,,17.01,,
,47.4,,,,,,0.54,,,,,,17.15,,
,48.63,,,,,,0.56,,,,,,17.37,,
,48,,,,,,0.57,,,,,,16.8,,
,51.44,,,,,,1.19,,,,,,14.77,,
,51.44,,,,,,1.19,,,,,,14.77,,
,49.55,,,,,,1.18,,,,,,14.32,,
,50.99,,,,,,1.23,,,,,,14.42,,
,50.05,,,,,,0.98,,,,,,14.15,,
,50.99,,,,,,1.23,,,,,,14.42,,
,50.99,,,,,,1.23,,,,,,14.42,,
,48.69,,,,,,0.54,,,,,,15.01,,
,48.83,,,,,,0.55,,,,,,16.82,,
,49.69,,,,,,0.56,,,,,,16.88,,
,48.88,,,,,,0.55,,,,,,16.61,,
,47.05,,,,,,0.52,,,,,,14.57,,
,48.79,,,,,,0.53,,,,,,15.91,,
,48,,,,,,0.57,,,,,,15.3,,
,47.54,,,,,,0.52,,,,,,15.6,,
,47.96,,,,,,0.3,,,,,,23.8,,
,48.09,,,,,,0.36,,,,,,22.94,,
,48.84,,,,,,0.37,,,,,,21.3,,
,45.92,,,,,,0.24,,,,,,24.04,,
,47.1,,,,,,0.37,,,,,,21.83,,
,47.76,,,,,,0.37,,,,,,21.6,,
,48.79,,,,,,0.36,,,,,,21.54,,
,46.8,,,,,,0.34,,,,,,21.9,,
,48.26,,,,,,0.55,,,,,,15.59,,
,48.85,,,,,,0.44,,,,,,19.68,,
,47.4,,,,,,0.41,,,,,,21,,
,47.12,,,,,,0.35,,,,,,22.48,,
,48.06,,,,,,0.38,,,,,,22.27,,
,48.7,,,,,,0.32,,,,,,22,,
,,,,,,,,,,,,,,,
,47.95,,,,,,0.36,,,,,,22.29,,
,49.41,,,,,,0.46,,,,,,18.48,,
,47.81,,,,,,0.39,,,,,,20.59,,
,49.27,,,,,,0.34,,,,,,22.26,,
,47.75,,,,,,0.33,,,,,,22.6,,
,47.5,,,,,,0.32,,,,,,22.92,,
,48.73,,,,,,0.38,,,,,,21.19,,
,47.01,,,,,,0.35,,,,,,21.58,,
,48.96,,,,,,0.34,,,,,,21.5,,
,,,,,,,,,,,,,19.81,,
,,,,,,,0.42,,,,,,,,
,48.4,,,,,,,,,,,,,,
,49.17,,,,,,0.41,,,,,,19.46,,
,48.6,,,,,,0.4,,,,,,19.59,,
,48.61,,,,,,0.45,,,,,,18.8,,
,47.94,,,,,,0.45,,,,,,18.7,,
,51.68,,,,,,1.69,,,,,,15.57,,
,48,,,,,,0.4,,,,,,18.77,,
,49.82,,,,,,1.06,,,,,,14.54,,
,50.43,,,,,,1.11,,,,,,14.73,,
,49.3,,,,,,0.4,,,,,,19.81,,
,49.52,,,,,,0.45,,,,,,18.3,,
,50.52,,,,,,1.03,,,,,,14.63,,
,49.2,,,,,,1.04,,,,,,14.7,,
,49.31,,,,,,1.07,,,,,,14.54,,
,48.88,,,,,,1,,,,,,14.23,,
,48.72,,,,,,1.15,,,,,,13.93,,
,49.09,,,,,,1.13,,,,,,13.94,,
,50.79,,,,,,1.14,,,,,,14.62,,
,50.87,,,,,,1.19,,,,,,14.46,,
,49.22,,,,,,1.07,,,,,,14.42,,
,49.26,,,,,,1.05,,,,,,14.21,,
,48.05,,,,,,1.05,,,,,,13.66,,
,50.59,,,,,,1.03,,,,,,14.39,,
,49.36,,,,,,1.13,,,,,,14.16,,
,50.64,,,,,,1.11,,,,,,14.76,,
,49.2,,,,,,1.08,,,,,,14.7,,
,49.54,,,,,,1.02,,,,,,16.2,,
,48.68,,,,,,1,,,,,,16.61,,
